osmid,y,x,street_count,highway,ref,railway,geometry,gtfs_stop_count,degree_centrality
260734471,5344538.8067080695,687511.2790287622,1,,,,POINT (687511.2790287622 5344538.8067080695),0,7.125044531528322e-05
12235851799,5344222.543085115,686729.7389515743,3,,,,POINT (686729.7389515743 5344222.543085115),0,0.00021375133594584968
260736935,5342106.688936235,688790.688376235,1,,,,POINT (688790.688376235 5342106.688936235),0,7.125044531528322e-05
955912472,5342631.334644923,687344.8121217074,1,,,,POINT (687344.8121217074 5342631.334644923),0,7.125044531528322e-05
260795574,5346693.128562883,686306.4924941672,1,,,,POINT (686306.4924941672 5346693.128562883),5,7.125044531528322e-05
2973662052,5346647.29473795,686307.9836829448,3,,,,POINT (686307.9836829448 5346647.29473795),0,0.00021375133594584968
260795576,5346375.402780267,686313.7373662131,3,,,,POINT (686313.7373662131 5346375.402780267),0,0.00021375133594584968
307757747,5346317.634274913,686452.7547966939,3,,,,POINT (686452.7547966939 5346317.634274913),0,0.00021375133594584968
260805566,5341193.671758685,682729.1772017061,1,,,,POINT (682729.1772017061 5341193.671758685),0,7.125044531528322e-05
260805690,5341147.556242392,682280.9802035225,1,,,,POINT (682280.9802035225 5341147.556242392),0,7.125044531528322e-05
260807744,5339846.2763934275,682356.1520711598,1,,,,POINT (682356.1520711598 5339846.2763934275),0,7.125044531528322e-05
260808521,5338874.287474883,683558.7467066164,3,,,,POINT (683558.7467066164 5338874.287474883),0,0.00021375133594584968
260808628,5338804.5813905485,683568.5915133797,3,,,,POINT (683568.5915133797 5338804.5813905485),0,0.00021375133594584968
260808664,5338938.001103587,683622.4098031942,3,,,,POINT (683622.4098031942 5338938.001103587),0,0.00021375133594584968
2871224620,5338947.217566996,683604.5604588318,1,turning_circle,,,POINT (683604.5604588318 5338947.217566996),0,7.125044531528322e-05
2871224619,5338941.690889848,683594.6036104703,1,,,,POINT (683594.6036104703 5338941.690889848),0,7.125044531528322e-05
260808829,5338901.23040488,683729.6106362432,3,,,,POINT (683729.6106362432 5338901.23040488),0,0.00021375133594584968
260808827,5338922.165953371,683775.190102583,1,turning_circle,,,POINT (683775.190102583 5338922.165953371),0,7.125044531528322e-05
260810851,5338385.570824259,688422.8126092209,3,,,,POINT (688422.8126092209 5338385.570824259),0,0.00021375133594584968
260882000,5340318.997394165,693686.624104071,4,traffic_signals,,,POINT (693686.624104071 5340318.997394165),0,0.0002850017812611329
264542018,5340307.703860116,693679.4031911211,4,,,,POINT (693679.4031911211 5340307.703860116),1,0.0002850017812611329
1964263555,5340489.348820987,693868.060730557,3,,,,POINT (693868.060730557 5340489.348820987),0,0.00021375133594584968
260964873,5337996.419365684,693367.9937999375,1,,,,POINT (693367.9937999375 5337996.419365684),0,7.125044531528322e-05
260965211,5338665.545430467,693537.0873820083,1,turning_circle,,,POINT (693537.0873820083 5338665.545430467),0,7.125044531528322e-05
260967573,5337956.161919526,688644.4268434995,3,,,,POINT (688644.4268434995 5337956.161919526),1,0.00021375133594584968
261210036,5329728.641243937,684564.3760991292,3,,,,POINT (684564.3760991292 5329728.641243937),0,0.00021375133594584968
261210913,5329620.624926541,684525.9846780605,3,,,,POINT (684525.9846780605 5329620.624926541),0,0.00021375133594584968
262845711,5329520.079352766,684744.9573348515,3,,,,POINT (684744.9573348515 5329520.079352766),0,0.00021375133594584968
1848564656,5329649.1640677275,684448.3511136621,3,,,,POINT (684448.3511136621 5329649.1640677275),0,0.00021375133594584968
262845662,5329564.197880938,684505.2563864759,3,,,,POINT (684505.2563864759 5329564.197880938),0,0.00021375133594584968
1848564644,5329636.163966175,684483.7543921408,3,,,,POINT (684483.7543921408 5329636.163966175),0,0.00021375133594584968
261211212,5329531.236608325,684492.9021724223,3,,,,POINT (684492.9021724223 5329531.236608325),0,0.00021375133594584968
261211442,5329545.63104488,684450.3579159756,3,,,,POINT (684450.3579159756 5329545.63104488),0,0.00021375133594584968
411501323,5331572.99401668,699303.6415434664,3,,,,POINT (699303.6415434664 5331572.99401668),0,0.00021375133594584968
262124281,5328137.628462176,686461.6344926157,3,,,,POINT (686461.6344926157 5328137.628462176),1,0.00021375133594584968
1604086939,5328143.684983638,686449.1139443761,3,,,,POINT (686449.1139443761 5328143.684983638),1,0.00021375133594584968
1705439160,5328447.91009161,686472.0779412611,4,,,,POINT (686472.0779412611 5328447.91009161),1,0.0002850017812611329
287360419,5328078.945132937,686620.336755951,3,,,,POINT (686620.336755951 5328078.945132937),0,0.00021375133594584968
262565644,5328740.085141282,686797.6202893204,4,,,,POINT (686797.6202893204 5328740.085141282),0,0.0002850017812611329
